No	start	end	カゴ	減少	list	Rot1	Rot2	Rot3	Rot4	Rot5	
0	19:00	21:00	6	1	6	16	20	0	0	0	
1	22:00	24:00	5	1	3	18	19	0	0	0	
2	24:30	20:00	4	0	1	15	21	0	0	0	
3	22:30	20:00	6	0	0	18	19	0	0	0	
4	26:00	20:00	4	0	1	18	19	0	0	0	
5	19:45	20:00	2	0	0	17	19	0	0	0	
6	26:00	20:00	7	1	0	18	19	0	0	0	
7	19:00	20:00	2	1	0	18	19	0	0	0	
8	25:00	20:00	6	0	5.5	18	19	0	0	0	
9	22:00	20:00	5	1	4	18	19	0	0	0	
10	25:00	20:00	4	0	2	18	19	0	0	0	
11	22:30	20:00	7	1	0	18	19	0	0	0	
12	23:00	20:00	5	1	1	18	19	0	0	0	
13	22:00	20:00	4	1	1	18	19	0	0	0	
14	25:00	20:00	7	0	2	18	19	0	0	0	
15	19:30	20:00	3	0	5.5	18	19	0	0	0	
16	20:45	20:00	6	1	1	17	19	0	0	0	
17	22:00	20:00	4	0	0.5	18	19	0	0	0	
18	22:30	20:00	5	1	0	18	19	0	0	0	
19	24:30	20:00	8	0	0	18	19	0	0	0	
20	22:00	20:00	10	0	0	18	19	0	0	0	
21	19:20	20:00	7	0	6.5	18	19	0	0	0	
22	26:30	20:00	7	0	0	18	19	0	0	0	
23	26:30	20:00	7	0	1	18	19	0	0	0	
24	24:30	20:00	5	0	0	18	19	0	0	0	
25	22:30	20:00	6	0	0.5	18	19	0	0	0	
26	26:00	20:00	6	1	1	18	19	0	0	0	
27	25:00	20:00	7	0	0	18	19	0	0	0	
28	20:30	20:00	5	0	3	14	21	0	0	0	
29	22:30	20:00	7	0	0.5	18	19	0	0	0	
30	25:00	20:00	6	0	0	18	19	0	0	0	
31	23:00	20:00	9	1	0	18	19	0	0	0	
32	19:20	20:00	6	0	2	16	20	0	0	0	
33	23:00	20:00	11	1	0	18	19	0	0	0	
34	24:00	20:00	14	0	0	18	19	0	0	0	
35	19:20	20:00	5	0	2.5	18	19	0	0	0	
36	24:00	20:00	6	0	1.5	18	19	0	0	0	
37	20:30	20:00	6	0	9	16	20	0	0	0	
38	24:00	20:00	6	1	1	18	19	0	0	0	
39	21:30	20:00	7	1	1.5	17	20	0	0	0	
40	19:30	20:00	9	0	1.5	18	19	0	0	0	
41	19:45	20:00	6	0	2	18	19	0	0	0	
42	19:30	20:00	6	0	2	16	20	0	0	0	
43	20:15	20:00	7	0	1	16	20	0	0	0	
44	19:45	20:00	6	1	0	16	20	0	0	0	
45	20:45	20:00	6	0	8	16	20	0	0	0	
46	19:45	20:00	5	1	4.5	18	19	0	0	0	
47	20:30	20:00	5	0	2	18	19	0	0	0	
48	27:30	20:00	25	1	0.5	16	20	0	0	0	
49	27:00	20:00	17	0	2	16	20	0	0	0	
50	27:30	20:00	16	1	0	14	21	0	0	0	
51	27:30	20:00	26	1	0	16	20	0	0	0	
52	27:30	20:00	18	1	0	18	19	0	0	0	
53	27:30	20:00	26	1	0	16	20	0	0	0	
54	28:00	20:00	26	1	0.5	16	20	0	0	0	
55	28:00	20:00	29	0	0	14	21	0	0	0	
56	27:35	20:00	40	0	0	16	20	0	0	0	
57	27:30	20:00	29	0	0.5	16	20	0	0	0	
58	27:00	20:00	18	1	0.5	18	19	0	0	0	
59	27:30	20:00	20	0	0	17	19	0	0	0	
60	28:00	20:00	28	1	0	16	19	0	0	0	
61	27:40	20:00	20	0	0	16	20	0	0	0	
62	27:15	20:00	25	1	0	16	20	0	0	0	
63	29:50	20:00	17	1	1	16	20	0	0	0	
64	27:00	20:00	61	0	0	16	20	0	0	0	
65	29:00	20:00	20	1	9.5	16	20	0	0	0	
66	29:00	20:00	29	1	0	18	18	0	0	0	
67	29:00	20:00	26	0	2.5	14	21	0	0	0	
68	28:00	20:00	26	1	0	14	21	0	0	0	
69	29:00	20:00	28	0	0.5	18	19	0	0	0	
